"company_id","iata_code"
673,"TUL"
237,"PHX"
634,"WRB"
237,"BUF"
646,"KWE"
237,"TCM"
673,"HSV"
167,"YYJ"
646,"CSX"
532,"NNG"
634,"CMH"
266,"DJJ"
673,"MSP"
237,"CID"
634,"HTS"
634,"DBQ"
237,"TLH"
634,"PVD"
237,"BOS"
634,"VBG"
558,"LIS"
634,"PBI"
646,"KMG"
366,"NKG"
646,"XIY"
237,"SYR"
673,"PAM"
634,"SBN"
646,"TNA"
673,"SLC"
634,"SAN"
634,"SFO"
245,"HGH"
237,"CMH"
634,"PIT"
245,"HAK"
673,"TLH"
897,"HYD"
237,"FWA"
646,"PEK"
245,"CKG"
237,"LFT"
673,"ICT"
673,"DCA"
237,"DTW"
673,"JAX"
266,"SOQ"
634,"SDF"
673,"PBI"
634,"SPI"
532,"TSN"
673,"MHT"
237,"SFO"
673,"SFO"
634,"MHT"
237,"COS"
673,"BAB"
237,"SNA"
167,"YOW"
673,"SEA"
237,"CLE"
634,"BIL"
673,"LBB"
634,"PAM"
532,"HGH"
237,"BNA"
673,"PIT"
673,"OKC"
245,"KWE"
634,"BHM"
673,"RDU"
532,"FOC"
532,"WNZ"
673,"FTW"
634,"DSM"
924,"KEF"
646,"HAK"
634,"LGA"
673,"DYS"
532,"CSX"
532,"CKG"
634,"JAN"
634,"SSC"
634,"DYS"
366,"URC"
237,"VBG"
634,"BLV"
532,"DLC"
673,"TPA"
673,"DTW"
634,"ERI"
457,"ODS"
673,"DAL"
673,"CHS"
634,"GPT"
366,"CSX"
634,"PDX"
237,"BFI"
237,"ATL"
634,"MLU"
673,"VPS"
673,"MGM"
634,"LCK"
366,"TSN"
634,"BAB"
828,"HRK"
673,"BAD"
673,"ABQ"
150,"HRE"
366,"YNT"
237,"CRP"
634,"ICT"
237,"DAL"
673,"SKA"
634,"OMA"
634,"LBB"
237,"PHF"
673,"HNL"
237,"IAD"
366,"CKG"
673,"PHL"
237,"HNL"
237,"GRB"
802,"LAD"
245,"TSN"
673,"SNA"
673,"LTS"
634,"LUF"
237,"SDF"
673,"DBQ"
634,"SKA"
673,"SMF"
558,"OPO"
673,"MBS"
366,"NGB"
830,"BKK"
366,"PVG"
237,"BGR"
237,"SBN"
237,"CVS"
634,"MCI"
673,"RFD"
634,"HIB"
634,"LFI"
646,"WNZ"
237,"SEA"
673,"SJC"
532,"PKX"
634,"PWM"
673,"RND"
167,"YVR"
245,"SHE"
237,"MSP"
266,"SUB"
245,"KWL"
673,"BHM"
237,"FSM"
237,"OKC"
237,"DBQ"
237,"SPS"
532,"NKG"
634,"RND"
237,"BHM"
634,"ATL"
237,"BAB"
237,"LEX"
646,"CGO"
237,"LIT"
897,"BOM"
237,"OMA"
237,"BWI"
828,"SIP"
634,"CLE"
163,"HEL"
245,"XIY"
366,"TNA"
673,"RNO"
673,"STL"
634,"SFB"
237,"FTW"
237,"TPA"
237,"GSB"
673,"CLE"
673,"SAN"
634,"CAE"
237,"HSV"
634,"CLT"
237,"DLF"
673,"GEG"
634,"VPS"
532,"CAN"
634,"CBM"
237,"BLV"
237,"SFB"
673,"LCK"
634,"JAX"
673,"JLN"
634,"PIA"
634,"PHF"
532,"URC"
266,"DPS"
634,"DLF"
673,"SPS"
634,"BOS"
673,"BUF"
634,"ROC"
673,"ORF"
237,"LTS"
237,"GUS"
237,"HIB"
673,"GPT"
167,"YUL"
673,"BLV"
673,"RIC"
266,"UPG"
673,"LGA"
237,"MUO"
634,"RIC"
634,"LTS"
237,"ROC"
237,"DLH"
245,"XMN"
167,"YHZ"
237,"HMN"
532,"TYN"
719,"HRG"
237,"LGA"
245,"SZX"
634,"BMI"
167,"YYC"
634,"SUX"
646,"HET"
237,"IAH"
634,"TRI"
673,"MIA"
634,"SLC"
646,"SHA"
634,"AGS"
532,"HRB"
634,"BWI"
673,"EDW"
673,"LUF"
237,"RSW"
237,"MEM"
897,"ATQ"
532,"YNT"
237,"ERI"
457,"HRK"
673,"FSM"
673,"FAI"
366,"HGH"
646,"TSN"
646,"CAN"
237,"ADW"
237,"GSP"
412,"CAI"
646,"WUH"
237,"SAV"
634,"MIA"
528,"ODS"
890,"TUN"
366,"PKX"
237,"SUU"
897,"BLR"
673,"GSO"
828,"ODS"
237,"SUS"
237,"JLN"
634,"MOB"
673,"TOL"
237,"ORD"
634,"MCF"
634,"SGF"
673,"MLI"
