"schedule_id","dept_date","dept_time","ariv_date","ariv_time"
36939,2021-01-17,"9:50:00",2021-01-17,"13:10:00"
23771,2020-11-25,"11:0:00",2020-11-25,"14:15:00"
26648,2020-09-20,"9:10:00",2020-09-20,"13:50:00"
24704,2022-01-27,"9:15:00",2022-01-27,"13:5:00"
30673,2019-04-28,"11:5:00",2019-04-28,"14:15:00"
78378,2020-10-30,"22:15:00",2020-10-31,"8:30:00"
82329,2021-04-11,"22:40:00",2021-04-12,"9:45:00"
97687,2021-05-04,"20:15:00",2021-05-05,"9:55:00"
24135,2021-06-02,"9:15:00",2021-06-02,"12:20:00"
12720,2021-02-06,"11:25:00",2021-02-06,"12:45:00"
10276,2022-08-10,"9:5:00",2022-08-10,"13:35:00"
82302,2022-07-09,"19:5:00",2022-07-10,"7:50:00"
14173,2021-12-25,"10:30:00",2021-12-25,"13:20:00"
11061,2021-08-31,"11:45:00",2021-08-31,"12:25:00"
22795,2019-06-14,"9:40:00",2019-06-14,"12:50:00"
35608,2021-08-02,"9:55:00",2021-08-02,"13:0:00"
72829,2022-11-12,"19:15:00",2022-11-13,"7:0:00"
79837,2019-01-22,"19:35:00",2019-01-23,"8:30:00"
97372,2021-01-16,"21:40:00",2021-01-17,"9:25:00"
92659,2019-05-27,"21:45:00",2019-05-28,"8:10:00"
28260,2022-01-26,"11:40:00",2022-01-26,"13:55:00"
14832,2022-10-24,"9:55:00",2022-10-24,"14:50:00"
39805,2021-12-13,"10:50:00",2021-12-13,"12:5:00"
11592,2021-12-09,"9:15:00",2021-12-09,"13:15:00"
11231,2019-12-09,"9:50:00",2019-12-09,"13:5:00"
91466,2021-05-19,"21:5:00",2021-05-20,"9:5:00"
29181,2022-12-09,"11:20:00",2022-12-09,"14:5:00"
76258,2022-07-19,"20:40:00",2022-07-20,"9:45:00"
34190,2020-07-12,"11:55:00",2020-07-12,"12:10:00"
27235,2021-10-02,"11:20:00",2021-10-02,"14:10:00"
37505,2022-05-21,"10:55:00",2022-05-21,"14:25:00"
29961,2019-01-29,"10:55:00",2019-01-29,"14:5:00"
90583,2022-09-06,"23:35:00",2022-09-07,"8:40:00"
79544,2021-10-27,"20:35:00",2021-10-28,"8:20:00"
28369,2021-12-22,"10:40:00",2021-12-22,"13:10:00"
76572,2019-05-17,"19:55:00",2019-05-18,"8:5:00"
87415,2021-10-27,"23:10:00",2021-10-28,"9:45:00"
18420,2019-01-20,"9:35:00",2019-01-20,"14:25:00"
99403,2019-06-06,"23:30:00",2019-06-07,"9:40:00"
87302,2020-08-24,"21:25:00",2020-08-25,"8:45:00"
33051,2020-07-01,"10:45:00",2020-07-01,"13:15:00"
21962,2022-09-06,"11:35:00",2022-09-06,"14:55:00"
16098,2021-07-27,"10:15:00",2021-07-27,"12:30:00"
27964,2020-05-30,"9:45:00",2020-05-30,"14:20:00"
74502,2021-05-26,"20:35:00",2021-05-27,"9:20:00"
34511,2019-02-26,"11:30:00",2019-02-26,"13:40:00"
92471,2020-02-07,"22:50:00",2020-02-08,"9:55:00"
13332,2021-12-08,"10:30:00",2021-12-08,"12:5:00"
18858,2021-09-18,"10:50:00",2021-09-18,"12:15:00"
30446,2022-06-07,"9:5:00",2022-06-07,"14:5:00"
11137,2020-03-09,"10:35:00",2020-03-09,"13:30:00"
15409,2022-03-26,"9:50:00",2022-03-26,"13:0:00"
71629,2020-02-03,"19:25:00",2020-02-04,"8:35:00"
97925,2019-12-18,"22:40:00",2019-12-19,"8:40:00"
74037,2019-01-01,"23:45:00",2019-01-02,"8:45:00"
36842,2022-06-04,"11:40:00",2022-06-04,"13:5:00"
99203,2021-04-04,"21:10:00",2021-04-05,"9:20:00"
80610,2020-02-12,"19:55:00",2020-02-13,"8:5:00"
31427,2020-03-16,"10:30:00",2020-03-16,"12:40:00"
84206,2020-11-29,"21:15:00",2020-11-30,"9:45:00"
34940,2022-03-12,"10:45:00",2022-03-12,"14:30:00"
26814,2020-01-18,"11:45:00",2020-01-18,"14:5:00"
12508,2020-01-13,"11:0:00",2020-01-13,"13:40:00"
82237,2019-06-30,"20:35:00",2019-07-01,"7:0:00"
21373,2021-09-22,"9:5:00",2021-09-22,"14:25:00"
98575,2022-07-28,"22:30:00",2022-07-29,"9:25:00"
38751,2021-05-05,"10:5:00",2021-05-05,"12:25:00"
20541,2021-11-03,"9:40:00",2021-11-03,"14:0:00"
83910,2020-05-21,"22:50:00",2020-05-22,"8:40:00"
76815,2020-02-06,"20:30:00",2020-02-07,"9:20:00"
26239,2020-07-22,"9:5:00",2020-07-22,"12:0:00"
19446,2021-09-10,"10:40:00",2021-09-10,"12:25:00"
38460,2022-04-30,"11:20:00",2022-04-30,"14:50:00"
84693,2022-06-06,"21:35:00",2022-06-07,"8:10:00"
15122,2019-05-23,"10:30:00",2019-05-23,"13:55:00"
12837,2020-01-09,"11:15:00",2020-01-09,"12:15:00"
71413,2022-12-17,"20:30:00",2022-12-18,"8:0:00"
37691,2022-06-09,"11:35:00",2022-06-09,"12:45:00"
15255,2022-05-02,"10:55:00",2022-05-02,"14:10:00"
13183,2022-07-01,"11:25:00",2022-07-01,"13:25:00"
79761,2022-06-06,"19:10:00",2022-06-07,"7:25:00"
79480,2020-11-14,"23:15:00",2020-11-15,"7:30:00"
98423,2020-12-16,"22:5:00",2020-12-17,"7:55:00"
26872,2022-09-15,"11:40:00",2022-09-15,"12:5:00"
23172,2019-04-28,"9:15:00",2019-04-28,"12:20:00"
83395,2021-07-11,"20:5:00",2021-07-12,"8:45:00"
27482,2022-08-05,"11:40:00",2022-08-05,"14:50:00"
31044,2022-09-26,"10:15:00",2022-09-26,"14:35:00"
79683,2022-09-14,"22:0:00",2022-09-15,"9:15:00"
28146,2020-05-11,"11:5:00",2020-05-11,"13:40:00"
28002,2021-12-29,"11:0:00",2021-12-29,"14:45:00"
92426,2022-09-09,"19:10:00",2022-09-10,"8:25:00"
29098,2020-06-11,"11:10:00",2020-06-11,"12:0:00"
93252,2021-07-11,"19:55:00",2021-07-12,"9:30:00"
22417,2019-10-07,"10:35:00",2019-10-07,"13:15:00"
31121,2020-01-21,"9:15:00",2020-01-21,"14:15:00"
19106,2019-10-17,"11:55:00",2019-10-17,"14:20:00"
38152,2020-08-27,"9:5:00",2020-08-27,"13:30:00"
23825,2019-08-11,"11:0:00",2019-08-11,"12:15:00"
74537,2022-05-07,"20:0:00",2022-05-08,"8:5:00"
71972,2019-07-11,"23:15:00",2019-07-12,"9:55:00"
33658,2022-09-05,"11:25:00",2022-09-05,"12:10:00"
32795,2019-12-07,"10:10:00",2019-12-07,"14:0:00"
39635,2022-04-18,"11:40:00",2022-04-18,"14:55:00"
30840,2019-09-14,"10:35:00",2019-09-14,"14:55:00"
76813,2019-09-28,"21:20:00",2019-09-29,"9:15:00"
28740,2020-10-18,"10:40:00",2020-10-18,"13:55:00"
23922,2021-01-27,"10:20:00",2021-01-27,"13:20:00"
71570,2019-03-01,"22:10:00",2019-03-02,"8:0:00"
85419,2021-06-07,"23:40:00",2021-06-08,"7:0:00"
36977,2019-10-22,"9:0:00",2019-10-22,"12:25:00"
24624,2022-09-20,"9:55:00",2022-09-20,"12:20:00"
15968,2022-01-01,"10:5:00",2022-01-01,"14:15:00"
23969,2022-07-08,"11:20:00",2022-07-08,"14:15:00"
34106,2019-04-01,"9:30:00",2019-04-01,"13:0:00"
98489,2021-10-12,"22:25:00",2021-10-13,"8:10:00"
74809,2020-06-04,"21:35:00",2020-06-05,"8:40:00"
93486,2021-05-28,"19:50:00",2021-05-29,"9:45:00"
90644,2022-05-08,"19:50:00",2022-05-09,"8:20:00"
89172,2021-01-26,"20:5:00",2021-01-27,"7:25:00"
70503,2021-06-05,"22:35:00",2021-06-06,"7:10:00"
11692,2020-01-07,"11:10:00",2020-01-07,"14:40:00"
38715,2020-10-24,"11:45:00",2020-10-24,"14:15:00"
26994,2020-11-04,"11:20:00",2020-11-04,"13:55:00"
28224,2021-04-08,"10:25:00",2021-04-08,"13:40:00"
20251,2020-03-14,"9:35:00",2020-03-14,"13:30:00"
24387,2020-01-21,"11:15:00",2020-01-21,"12:0:00"
21252,2021-06-30,"10:20:00",2021-06-30,"13:0:00"
31932,2019-03-10,"10:15:00",2019-03-10,"13:10:00"
23317,2021-02-18,"10:55:00",2021-02-18,"12:40:00"
27161,2022-08-03,"11:40:00",2022-08-03,"13:30:00"
17348,2019-03-26,"10:35:00",2019-03-26,"12:35:00"
10861,2022-01-12,"11:40:00",2022-01-12,"12:55:00"
38179,2019-04-05,"11:35:00",2019-04-05,"12:10:00"
11299,2019-08-31,"10:45:00",2019-08-31,"12:55:00"
10837,2019-12-08,"10:35:00",2019-12-08,"12:50:00"
33020,2022-07-26,"11:10:00",2022-07-26,"12:25:00"
39400,2020-04-07,"10:50:00",2020-04-07,"12:15:00"
11542,2021-02-28,"10:15:00",2021-02-28,"14:0:00"
76717,2022-01-21,"23:5:00",2022-01-22,"8:0:00"
86693,2020-03-06,"21:15:00",2020-03-07,"7:50:00"
23860,2020-03-15,"9:50:00",2020-03-15,"13:30:00"
77116,2019-01-23,"20:35:00",2019-01-24,"7:20:00"
34316,2022-08-20,"9:40:00",2022-08-20,"12:15:00"
