"ticket_id","seat_location","seat_class","luggage_no","regis_no","flight_no","traveler_id"
1267121830,"10A","Business",2,"A044929","RL753",2434882
6134846026,"10A","Business",1,"AB14396","YAP203",4129486
7311525082,"10A","Business",1,"C034299","CA1556",7694198
6140689253,"10A","Business",3,"C573194","AA7987",2667328
1338799882,"10A","Business",3,"CX56054","MU8031",7426551
8611586705,"10A","Business",2,"D257190","AA8389",3960221
2444257929,"10A","Business",3,"QZ64723","NDN949",8610961
4552681713,"10A","Business",2,"R590110","TK220",6840809
4627766474,"10A","Business",2,"RA31940","UA8397",4017195
7825138419,"10A","Business",3,"SQ22284","N7263",2434352
9044442490,"10A","Business",1,"UE19825","MS107",7861558
5462671785,"10A","Business",2,"UJ58896","DL8489",3419910
1710912011,"10A","Business",3,"VJ28448","DL9406",9430677
4110847840,"10A","Business",2,"YK23395","Y7285",6308495
3671962412,"10A","Business",2,"ZO24757","YAP703",6621006
1456416755,"10A","Economic",1,"BG84706","6O469",4793738
5582480993,"10A","Economic",1,"CX56054","MU5737",6414640
3649172410,"10A","Economic",3,"FF53946","6O491",4134385
7445280179,"10A","Economic",1,"HB79303","UA2048",7038242
3807346375,"10A","Economic",3,"HF48942","CA8935",6348412
5829891389,"10A","Economic",3,"IX35219","AA6293",7577025
7497825588,"10A","Economic",1,"MD64300","HU2104",3216529
2344039320,"10A","Economic",1,"O469699","FNA525",2442748
2577205025,"10A","Economic",2,"OM42334","UA5396",2178105
6055398383,"10A","Economic",2,"YF81526","QZ906",7826222
5268366078,"10A","Economic",2,"ZJ61396","G867",2609436
1646374106,"10A","First",2,"CX56054","MU5407",6933950
1523185100,"10A","First",3,"DG44175","MU8967",8063405
2042599398,"10A","First",3,"F688331","HU1751",9121609
4487709930,"10A","First",2,"F688331","HU3304",9910575
8948816994,"10A","First",2,"FX62042","MU952",5149056
1661056698,"10A","First",3,"IY87396","MU1332",4501622
1536909965,"10A","First",2,"NF77766","MD208",7357380
2827737488,"10A","First",2,"NZ16890","MU1419",7521645
9752629003,"10A","First",1,"QG80006","UA833",2196866
5010148208,"10A","First",1,"RA31940","UA947",5114315
1189129992,"10A","First",3,"RZ47778","MU5232",4682590
1009727408,"10A","First",2,"S755695","UH212",2030875
2142211266,"10A","First",3,"SX16085","FV601",3935312
4406562394,"10A","First",2,"XL21477","AA2181",8266887
2202891191,"10A","First",3,"Z957615","Y9840",6536326
3589745523,"10B","Business",3,"AK15140","AA5210",5480859
2876387247,"10B","Business",3,"FZ17926","DL9187",9178277
3039944575,"10B","Business",1,"GR97278","HU7663",4105979
6966573372,"10B","Business",2,"IO10445","UA6863",3862773
8143557216,"10B","Business",3,"IX35219","AA6293",9414107
7871109601,"10B","Business",1,"K248623","AA8195",7735964
6514733893,"10B","Business",2,"LD25321","DSV588",4261130
3114826956,"10B","Business",2,"LO75185","UA5329",6830515
5735114215,"10B","Business",1,"T953711","MH502",9454658
2625266547,"10B","Economic",2,"C034299","CA8823",3504123
1130162923,"10B","Economic",3,"C463705","FNA722",2737589
7784934767,"10B","Economic",3,"CZ11947","Y7333",9010220
3325767497,"10B","Economic",3,"D412459","MU5808",8170001
7603352565,"10B","Economic",1,"DG44175","MU863",9937228
9154237827,"10B","Economic",2,"EE66549","MSE916",3536276
8038434309,"10B","Economic",3,"GD49515","MD304",4062573
4414877477,"10B","Economic",1,"LH44836","AS272",4746593
3603266915,"10B","Economic",1,"LO89122","QZ939",6306154
9728927294,"10B","Economic",3,"MY12791","RL262",5292245
2683806872,"10B","Economic",2,"V694489","MSE471",7860430
5442424004,"10B","Economic",3,"V893208","HU9395",9851022
6717756109,"10B","Economic",2,"X116535","SK932",3005164
4209170865,"10B","Economic",1,"X543761","SK827",9686009
9929580533,"10B","First",1,"FX62042","MU5425",2338886
6855056786,"10B","First",1,"FZ17926","DL7580",9222892
9714832811,"10B","First",1,"IQ91358","AA3755",5506893
6920033767,"10B","First",1,"OM42334","UA536",8135637
4059076087,"10B","First",2,"P971903","Z7381",2622749
6642577288,"10B","First",3,"QG80006","UA833",6443561
3695461206,"10B","First",1,"QX84173","CA4363",9775288
9811239790,"10B","First",1,"SI46275","DL4052",6863847
8630993957,"10B","First",3,"UN57507","CA5199",2190887
4031357462,"10C","Business",3,"BC62025","DL824",5766893
4151977124,"10C","Business",2,"BN47452","MH589",4436941
2089573875,"10C","Business",1,"ET76777","HU6572",4424400
4850768753,"10C","Business",3,"GK68608","HU6418",5814366
6746847509,"10C","Business",2,"IK34015","QZ602",7476063
6607064267,"10C","Business",2,"IT60376","N7731",5586015
8733481164,"10C","Business",3,"MS26621","VA179",7499333
7924869723,"10C","Business",3,"N736307","FV158",8078621
1837862728,"10C","Business",1,"QN17200","UA662",7161890
1236301816,"10C","Business",1,"VJ28448","DL9406",2061303
3582239784,"10C","Business",2,"WQ16876","CA4807",8337217
4985662602,"10C","Business",3,"YF81526","QZ906",7725356
3508845368,"10C","Business",2,"ZN27898","CA4317",4367757
2689717004,"10C","Business",2,"ZN27898","CA6779",3841964
7289205755,"10C","Economic",1,"D412459","MU5808",9483165
5564558248,"10C","Economic",3,"ES88832","MU9115",2871796
1439449663,"10C","Economic",3,"ET76777","HU6956",6888464
2214807244,"10C","Economic",2,"FA71621","SE740",7050512
8904395510,"10C","Economic",2,"FF57279","AA1140",9804352
9569314412,"10C","Economic",2,"FF57279","AA6140",6589969
5019822036,"10C","Economic",3,"LU39394","IG132",3380758
1621512423,"10C","Economic",3,"MH89346","DL8789",9937614
7098347971,"10C","Economic",2,"RZ47778","MU5232",6629347
8700591445,"10C","Economic",3,"UF25136","CA3181",2798253
3635951015,"10C","Economic",2,"UJ58896","DL736",5285010
8714335887,"10C","Economic",1,"VR57164","CA492",6342409
8070041801,"10C","First",3,"AK15140","AA1723",7432344
7592730211,"10C","First",2,"CR27959","MD346",9803698
1355771158,"10C","First",2,"D412459","MU6556",2624162
4961938804,"10C","First",3,"DK59405","UA6559",5587566
6819112854,"10C","First",2,"DP62487","DL6931",8432095
7620548556,"10C","First",3,"HF48942","CA4532",4730984
5321160918,"10C","First",1,"I268678","AA4431",9789296
4362292146,"10C","First",1,"MH28238","YUZ254",8176062
6859391461,"10C","First",3,"MU39880","BGY378",2721741
4136449821,"10C","First",2,"OQ81096","DL3447",8725818
6911809186,"10C","First",1,"V732413","SK909",2249546
5233708656,"10C","First",3,"VQ54186","HU2974",4484973
9740518513,"10C","First",1,"YV60564","MU4942",8799160
1241191024,"10D","Business",3,"C034299","CA7525",8955958
8343602316,"10D","Business",3,"CX56054","MU5407",4677346
5128850300,"10D","Business",3,"D257190","AA7461",8567859
6376863206,"10D","Business",3,"FM40739","YUZ164",5871793
1843510343,"10D","Business",1,"FP50403","DSV400",6132100
5187168954,"10D","Business",3,"MD64300","HU4683",4104868
3317346982,"10D","Business",1,"MZ22939","RL112",4711116
6980575574,"10D","Business",3,"PX63116","GK635",2461422
5758664503,"10D","Business",1,"TF25369","RL521",7343849
9445920479,"10D","Business",3,"TQ90743","CA8528",3927371
1491805393,"10D","Business",1,"UN57507","CA5037",2970903
6164328208,"10D","Business",1,"VQ54186","HU7210",2547310
8742989918,"10D","Business",1,"WL67776","IG929",4498540
7928287609,"10D","Business",2,"XN21483","HU8363",9379743
8241147223,"10D","Economic",1,"D441026","HU2730",4298799
1864995964,"10D","Economic",2,"DX22477","MU4265",5344429
8778061804,"10D","Economic",1,"FT26660","AA8738",9176252
8532684189,"10D","Economic",1,"IO10445","UA2848",3331132
3392393908,"10D","Economic",2,"JV55375","FV723",5260370
1303691415,"10D","Economic",2,"MD64300","HU5268",9802661
5576730531,"10D","Economic",2,"MH89346","DL2743",4415621
1626824443,"10D","Economic",2,"NZ16890","MU5293",9428562
7523215633,"10D","Economic",3,"TQ90743","CA6095",6811852
1777815735,"10D","Economic",1,"UB67244","UA9532",7965129
7295918873,"10D","Economic",2,"YV32778","BUR655",3912798
