"company_id","iata_code"
673,"AFW"
237,"ROA"
634,"BLV"
237,"FAI"
634,"TPA"
646,"CGO"
634,"MEM"
673,"DAY"
167,"YYJ"
646,"CSX"
532,"NNG"
673,"DYS"
199,"HAM"
673,"PBI"
634,"VPS"
634,"DBQ"
673,"ANC"
634,"MGM"
634,"RSW"
634,"TOL"
634,"ABQ"
163,"HEL"
634,"RFD"
646,"SHA"
366,"PEK"
646,"DLC"
237,"TCM"
634,"MCO"
673,"RDU"
673,"IND"
237,"SYR"
646,"XMN"
717,"ISE"
634,"SKA"
673,"JLN"
245,"PVG"
634,"DYS"
634,"RST"
245,"HAK"
828,"SIP"
237,"GEG"
237,"TRI"
412,"LXR"
237,"CID"
646,"KMG"
237,"SGF"
245,"HRB"
237,"BHM"
673,"DFW"
237,"SPI"
558,"FAO"
237,"RIC"
237,"BMI"
673,"DOV"
199,"SXF"
673,"JAN"
673,"RFD"
673,"LFT"
532,"TSN"
673,"OAK"
634,"JLN"
717,"TZX"
634,"OAK"
634,"SPS"
830,"CNX"
634,"LFI"
167,"YEG"
717,"DLM"
634,"WRB"
673,"SYR"
673,"BAD"
634,"RDU"
532,"PVG"
634,"TIK"
673,"RST"
673,"PHX"
245,"CGO"
673,"SUX"
237,"PHX"
673,"SAT"
532,"NAY"
532,"YNT"
673,"CHS"
673,"SSC"
151,"SCQ"
646,"HAK"
634,"BIL"
237,"DLH"
673,"BNA"
532,"CSX"
532,"HRB"
634,"DLH"
673,"LTS"
634,"BNA"
366,"CTU"
237,"ABQ"
673,"SZL"
532,"NKG"
237,"DEN"
673,"BOS"
673,"BMI"
634,"BUF"
897,"BOM"
237,"DAY"
663,"KRK"
635,"KTW"
634,"CLT"
366,"CSX"
673,"FFO"
634,"IAH"
634,"HIB"
237,"BOI"
634,"ORD"
673,"ADW"
237,"AVL"
673,"MUO"
634,"BDL"
366,"TSN"
673,"HSV"
897,"CCJ"
237,"MCO"
830,"DMK"
558,"TER"
237,"CRW"
150,"HRE"
366,"SHE"
634,"SNA"
634,"DFW"
634,"FSM"
717,"ISL"
634,"PIA"
634,"BAD"
237,"LAS"
634,"LGA"
673,"RIC"
237,"EDW"
366,"HRB"
673,"RNO"
237,"JLN"
237,"SBN"
802,"LAD"
245,"TSN"
717,"SAW"
673,"FWA"
634,"MIA"
237,"DFW"
663,"GDN"
237,"WRB"
673,"LBB"
717,"ADA"
266,"UPG"
673,"MKE"
366,"FOC"
266,"DJJ"
366,"NGB"
237,"DCA"
237,"PVD"
634,"SUS"
634,"MLU"
673,"SAV"
634,"CVS"
634,"BGR"
646,"YNT"
237,"DLF"
717,"BJV"
532,"PKX"
634,"SAN"
673,"SDF"
167,"YOW"
245,"KWE"
237,"GUS"
199,"DTM"
245,"KWL"
634,"GEG"
512,"OSL"
237,"ROC"
237,"HTS"
237,"CBM"
237,"ERI"
532,"PEK"
634,"SDF"
634,"SUX"
673,"HIB"
237,"DAB"
237,"TLH"
646,"HGH"
237,"TUL"
151,"SPC"
237,"IAD"
237,"LCK"
503,"KEF"
673,"WRB"
199,"CGN"
634,"GUS"
245,"DLC"
366,"XMN"
634,"END"
673,"SEA"
457,"SIP"
673,"JFK"
237,"RST"
237,"ORD"
237,"SDF"
635,"WRO"
673,"SKA"
673,"TUL"
237,"SMF"
673,"DTW"
634,"LFT"
673,"CLE"
634,"ADW"
532,"CAN"
673,"TUS"
634,"MBS"
634,"MCI"
673,"BDL"
634,"DTW"
634,"DOV"
673,"AUS"
634,"PWM"
634,"GSB"
634,"MGE"
532,"CTU"
199,"DUS"
673,"STL"
717,"IST"
673,"TOL"
944,"WRO"
237,"ONT"
635,"GDN"
237,"TUS"
237,"SFO"
673,"CLT"
634,"ORF"
673,"BIL"
237,"HMN"
634,"HOU"
634,"FWA"
237,"MCI"
634,"PHF"
237,"ANC"
167,"YWG"
634,"MLI"
646,"HET"
673,"OKC"
646,"SZX"
673,"BOI"
673,"MIA"
237,"MDW"
237,"TPA"
151,"MAD"
237,"DTW"
646,"TSN"
646,"CAN"
237,"CLE"
237,"SFB"
897,"DEL"
237,"LBB"
237,"MLU"
107,"LXR"
924,"KEF"
237,"MLI"
237,"BAB"
634,"TUS"
237,"BLV"
237,"LUF"
237,"MBS"
634,"SUU"
237,"MIA"
237,"MSN"
634,"STL"
635,"POZ"
721,"LIM"
634,"CLE"
634,"SAV"
237,"LAX"
634,"ICT"
634,"CHS"
237,"SUX"
237,"SZL"
245,"CKG"
673,"SPS"
673,"SAN"
634,"CMH"
532,"HGH"
673,"TLH"
412,"CAI"
237,"BGR"
151,"TFS"
237,"BIL"
717,"ESB"
634,"LCK"
673,"COS"
237,"TIK"
237,"SKA"
673,"DAL"
237,"LTS"
673,"MSP"
512,"SVG"
366,"XIY"
673,"SLC"
237,"GSB"
237,"JAN"
237,"HSV"
634,"DAB"
634,"MHT"
245,"WNZ"
266,"KNO"
673,"LGA"
673,"DBQ"
237,"FTW"
532,"CGO"
673,"TIK"
673,"SBN"
512,"BGO"
245,"URC"
528,"SIP"
237,"MEM"
646,"NKG"
634,"OMA"
646,"URC"
634,"SMF"
634,"SAT"
532,"TNA"
558,"LIS"
897,"MAA"
151,"ALC"
897,"CCU"
673,"DSM"
673,"CAE"
634,"MDW"
673,"GPT"
266,"AAP"
237,"RFD"
634,"LAS"
673,"MGE"
944,"POZ"
673,"RSW"
673,"BHM"
237,"MUO"
634,"AUS"
107,"CAI"
634,"HTS"
673,"SMF"
237,"DAL"
457,"HRK"
532,"SHE"
366,"SHA"
673,"CBM"
646,"CTU"
673,"SFO"
237,"TOL"
634,"CVG"
237,"GPT"
673,"TPA"
237,"BWI"
245,"FOC"
199,"LEJ"
634,"SJC"
237,"ADW"
237,"BOS"
199,"FRA"
634,"EDW"
634,"CAE"
673,"MEM"
673,"ORF"
944,"KTW"
634,"LEX"
366,"TNA"
673,"HTS"
634,"VBG"
673,"LEX"
673,"BFI"
266,"SOQ"
237,"HOU"
237,"SRQ"
366,"TYN"
634,"DSM"
673,"SGF"
719,"CAI"
237,"MOB"
237,"CRP"
673,"EWR"
673,"SUU"
634,"COS"
245,"TYN"
532,"XIY"
634,"CBM"
664,"REP"
237,"RSW"
558,"OPO"
673,"ICT"
634,"BWI"
532,"SHA"
237,"CHS"
673,"AMA"
237,"CHA"
266,"DPS"
237,"TYS"
237,"OMA"
673,"SRQ"
237,"VBG"
237,"PBI"
646,"TNA"
673,"HMN"
634,"PVD"
634,"SGF"
673,"AGS"
634,"LAX"
634,"RNO"
237,"EWR"
237,"PIT"
673,"JAX"
673,"DLF"
237,"FSM"
