schedule_id,Depature Day,Depature Time,Arrival Day,Arrival Time
40036,2019-11-15,00:39:08,2019-11-15,01:10:02
47142,2020-01-29,16:20:23,2020-01-29,17:07:11
14739,2020-05-15,15:23:14,2020-05-15,16:10:02
26924,2021-12-23,21:46:17,2021-12-23,22:33:05
33276,2021-03-28,08:49:53,2021-03-28,09:58:08
59273,2020-03-17,17:22:41,2020-03-17,17:57:29
1974,2019-12-17,03:36:05,2019-12-17,04:10:53
49774,2020-08-30,13:02:20,2020-08-30,13:46:26
21591,2020-05-20,21:53:59,2020-05-20,22:38:05
29428,2021-06-22,19:27:44,2021-06-22,21:46:20
2625,2021-05-03,13:05:20,2021-05-03,16:43:08
5619,2021-04-08,16:09:20,2021-04-08,19:47:08
15060,2020-11-28,10:13:44,2020-11-28,13:51:32
25918,2020-11-29,19:13:14,2020-11-29,20:19:50
29954,2020-07-22,08:36:05,2020-07-22,09:42:41
36254,2019-12-07,21:38:11,2019-12-07,22:44:47
40798,2021-11-02,08:24:29,2021-11-02,09:13:05
6988,2020-05-02,10:15:56,2020-05-02,11:04:32
19514,2020-09-15,20:50:32,2020-09-15,22:39:08
45156,2021-11-02,11:03:35,2021-11-02,12:52:11
43804,2020-03-02,11:32:23,2020-03-02,13:20:59
14931,2021-01-28,12:10:59,2021-01-28,12:41:35
36992,2022-01-22,10:59:29,2022-01-22,12:26:47
23706,2020-09-12,11:40:23,2020-09-12,12:59:53
58256,2021-10-21,18:21:08,2021-10-21,19:40:38
55584,2021-07-16,10:57:59,2021-07-16,12:12:41
4349,2021-11-21,07:25:08,2021-11-21,08:39:50
57370,2020-02-02,20:12:38,2020-02-02,21:08:44
53063,2021-11-16,01:24:29,2021-11-16,02:20:35
46375,2020-08-15,12:47:44,2020-08-15,14:14:44
4861,2020-01-16,12:58:41,2020-01-16,14:25:41
9487,2019-07-28,23:41:56,2019-07-29,01:08:56
11631,2020-04-20,10:25:05,2020-04-20,11:10:23
2107,2019-09-26,01:03:38,2019-09-26,01:48:56
60827,2019-08-04,08:05:08,2019-08-04,08:50:26
40462,2019-08-17,06:56:53,2019-08-17,09:19:59
61224,2021-01-21,21:56:44,2021-01-21,23:18:20
48059,2021-04-12,15:55:17,2021-04-12,17:16:53
59851,2021-05-27,18:04:17,2021-05-27,19:25:53
25058,2021-11-26,20:44:47,2021-11-26,22:03:05
49477,2022-01-11,09:57:47,2022-01-11,11:52:59
24771,2021-01-28,13:40:41,2021-01-28,15:35:53
43807,2020-03-03,09:20:11,2020-03-03,11:15:23
20002,2021-06-13,04:49:17,2021-06-13,17:49:35
24747,2021-06-24,10:22:47,2021-06-24,14:50:41
14592,2021-07-26,00:00:23,2021-07-26,01:10:17
13731,2022-01-13,18:40:20,2022-01-14,02:53:14
61900,2022-01-07,07:09:32,2022-01-07,09:46:08
16951,2020-04-24,19:33:05,2020-04-24,22:09:23
5637,2021-12-07,10:14:56,2021-12-07,12:51:14
49414,2021-01-25,04:25:05,2021-01-25,09:25:59
9702,2021-12-06,05:09:11,2021-12-06,10:10:05
46269,2020-09-30,23:20:26,2020-10-01,04:21:20
61024,2020-10-07,02:37:32,2020-10-07,03:44:08
11891,2021-05-05,00:53:38,2021-05-05,04:01:26
8006,2019-11-13,19:45:50,2019-11-13,22:53:38
7086,2020-07-13,04:42:26,2020-07-13,12:16:38
30557,2021-04-14,07:27:53,2021-04-14,15:02:05
26113,2021-06-09,10:01:23,2021-06-09,17:35:35
48724,2021-01-31,10:14:56,2021-01-31,12:52:44
48658,2020-10-13,07:42:05,2020-10-13,10:19:53
59947,2021-10-11,20:11:11,2021-10-11,23:53:47
47096,2020-06-21,22:21:29,2020-06-22,00:02:17
45957,2020-05-01,13:35:44,2020-05-01,15:16:32
25623,2020-02-06,04:54:41,2020-02-06,06:35:29
46155,2021-08-10,11:22:47,2021-08-10,19:40:11
23709,2019-12-31,11:50:26,2019-12-31,16:48:56
9790,2021-05-28,02:22:35,2021-05-28,07:21:05
21597,2020-08-13,03:13:29,2020-08-13,08:11:59
8112,2021-08-04,02:58:17,2021-08-04,07:58:17
36068,2020-12-12,11:36:05,2020-12-12,19:19:17
37120,2019-08-25,16:27:23,2019-08-26,00:10:35
17562,2021-02-13,19:27:05,2021-02-13,22:41:11
11190,2019-11-02,04:42:53,2019-11-02,07:56:59
47164,2020-11-01,12:08:08,2020-11-01,15:22:14
59846,2019-11-22,03:50:59,2019-11-22,10:25:47
47159,2021-04-24,11:49:14,2021-04-24,16:22:32
56960,2021-01-24,17:27:44,2021-01-24,22:01:02
40490,2021-07-15,23:01:56,2021-07-16,06:04:20
45827,2021-04-21,20:29:59,2021-04-21,21:39:17
13014,2021-03-27,09:16:53,2021-03-27,10:26:11
20264,2020-05-08,17:13:20,2020-05-09,00:09:26
20432,2019-12-23,01:09:29,2019-12-23,08:05:35
60636,2021-01-10,12:42:59,2021-01-10,16:49:53
