regis_no,fir_capacity,bus_capacity,eco_capacity,aircratft_type,company_id
O131113,16,24,138,Boeing 737-700,222416
N792058,16,24,138,Boeing 737-700,222416
Z250032,16,24,138,Boeing 737-700,222416
N951972,16,24,138,Boeing 737-700,222416
S297355,16,24,138,Boeing 737-700,222416
B100710,16,24,138,Boeing 737-700,222416
J820459,16,24,138,Boeing 737-800,222416
T414414,16,24,138,Boeing 737-800,222416
F646088,16,24,138,Boeing 737-800,222416
T364927,16,24,138,Boeing 737-800,222416
W799171,0,18,100,Embraer 195,132425
B325178,0,18,100,Embraer 195,132425
K408677,0,18,100,Embraer 195,132425
F441199,0,18,100,Embraer 195,132425
R983469,0,18,100,Embraer 190,132425
V208244,0,18,100,Embraer 190,132425
M728876,0,18,100,Embraer 190,132425
O701385,0,18,100,Embraer 190,132425
D607660,0,18,100,Embraer 190,132425
H828864,0,18,100,Embraer 190,132425
O181034,0,18,100,Embraer 190,132425
C145386,0,18,100,Embraer 190,132425
P355361,0,18,100,Embraer 190,132425
W564566,0,18,100,Embraer 190,132425
N140970,12,15,82,Airbus A220-300,132425
R31236,12,15,82,Airbus A220-300,132425
V586741,12,15,82,Airbus A220-300,132425
Q77721,12,15,82,Airbus A220-300,132425
Y84325,12,15,82,Airbus A220-300,132425
Y311903,12,15,82,Airbus A220-300,132425
M532999,12,15,82,Airbus A220-300,132425
R167237,30,49,135,Boeing 767-200ER,5112
Z316536,60,24,266,Boeing 777-200ER,5112
M907785,60,24,266,Boeing 777-200ER,5112
M478391,60,24,266,Boeing 777-200ER,5112
O70725,60,24,266,Boeing 777-300ER,5112
P569154,60,24,266,Boeing 777-300ER,5112
W580838,30,49,135,Boeing 767-300ER,5112
R840521,30,49,135,Boeing 767-300ER,5112
T721183,30,49,135,Boeing 767-300ER,5112
X283023,30,49,135,Boeing 767-300ER,5112
X734413,30,49,135,Boeing 767-300ER,5112
V322496,30,49,135,Boeing 767-200,5112
B97108,30,49,135,Boeing 767-200,5112
D433829,30,49,135,Boeing 767-200,5112
N747024,12,42,96,Airbus A320neo,6620
I24080,12,42,96,Airbus A320neo,6620
S662149,12,42,96,Airbus A320neo,6620
N379935,12,42,96,Airbus A320neo,6620
C899060,12,42,96,Airbus A320neo,6620
S965650,12,42,96,Airbus A320neo,6620
N243066,12,42,96,Airbus A320neo,6620
