iata_code,airport_name,country,weather,airport_status
BLD,Boulder City-Lake Mead International Airport,US,Heavy Snowy,Busy
MFH,Mesquite International Airport,US,Rainy,Free
ABE,Lehigh Valley International Airport,US,Frost,Large-Scale Delay
ABQ,Albuquerque International Sunport,US,Mostly Sunny,Free
ACY,Atlantic City International Airport,US,Heavy Snowy,Large-Scale Delay
AEX,Alexandria International Airport,US,Cloudy,Free
ALB,Albany International Airport,US,Heavy Snowy,Free
ALI,Alice International Airport,US,Cloudy,Normal
AMA,Rick Husband Amarillo International Airport,US,Heavy Snowy,Normal
ART,Watertown International Airport,US,Sunny,Large-Scale Delay
ATL,Hartsfield Jackson Atlanta International Airport,US,Foggy,Normal
AUS,Austin Bergstrom International Airport,US,Frost,Free
AVP,Wilkes Barre Scranton International Airport,US,Frost,Large-Scale Delay
AZO,Kalamazoo Battle Creek International Airport,US,Snowy,Small-Scale Delay
BDE,Baudette International Airport,US,Rainy,Busy
BDL,Bradley International Airport,US,Rainy,Busy
BFI,Boeing Field King County International Airport,US,Sunny,Free
BGR,Bangor International Airport,US,Sunny,Large-Scale Delay
BHM,Birmingham-Shuttlesworth International Airport,US,Foggy,Free
BIL,Billings Logan International Airport,US,Cloudy,Normal
BLI,Bellingham International Airport,US,Rainy,Free
BNA,Nashville International Airport,US,Partly Cloudy,Normal
BOS,Logan International Airport,US,Snowy,Normal
BRO,Brownsville South Padre Island International Airport,US,Frost,Small-Scale Delay
BTV,Burlington International Airport,US,Heavy Rainy,Large-Scale Delay
BUF,Buffalo Niagara International Airport,US,Heavy Snowy,Small-Scale Delay
BWI,Baltimore/Washington International Thurgood Marshall Airport,US,Mostly Sunny,Normal
BYH,Arkansas International Airport,US,Foggy,Free
CHS,Charleston International Airport,US,Heavy Snowy,Normal
CIU,Chippewa County International Airport,US,Heavy Snowy,Busy
CLE,Cleveland Hopkins International Airport,US,Snowy,Free
CLM,William R Fairchild International Airport,US,Partly Cloudy,Normal
CLT,Charlotte Douglas International Airport,US,Heavy Rainy,Small-Scale Delay
CMH,John Glenn Columbus International Airport,US,Rainy,Large-Scale Delay
CPR,Casper-Natrona County International Airport,US,Snowy,Busy
CRP,Corpus Christi International Airport,US,Mostly Sunny,Busy
CTB,Cut Bank International Airport,US,Mostly Sunny,Large-Scale Delay
CVG,Cincinnati Northern Kentucky International Airport,US,Cloudy,Normal
DAB,Daytona Beach International Airport,US,Snowy,Free
DAY,James M Cox Dayton International Airport,US,Snowy,Large-Scale Delay
DEN,Denver International Airport,US,Heavy Snowy,Large-Scale Delay
DFW,Dallas Fort Worth International Airport,US,Heavy Snowy,Free
DLH,Duluth International Airport,US,Frost,Small-Scale Delay
DRT,Del Rio International Airport,US,Snowy,Small-Scale Delay
DSM,Des Moines International Airport,US,Rainy,Free
DUG,Bisbee Douglas International Airport,US,Snowy,Normal
ECP,Northwest Florida Beaches International Airport,US,Mostly Sunny,Large-Scale Delay
ELP,El Paso International Airport,US,Cloudy,Busy
ERI,Erie International Tom Ridge Field,US,Snowy,Free
EWR,Newark Liberty International Airport,US,Heavy Snowy,Free
EYW,Key West International Airport,US,Rainy,Large-Scale Delay
FAR,Hector International Airport,US,Heavy Snowy,Busy
FAT,Fresno Yosemite International Airport,US,Frost,Normal
FLG,Flagstaff Pulliam International Airport,US,Cloudy,Busy
FLL,Fort Lauderdale Hollywood International Airport,US,Partly Cloudy,Small-Scale Delay
FNT,Bishop International Airport,US,Cloudy,Small-Scale Delay
FPR,St Lucie County International Airport,US,Cloudy,Small-Scale Delay
FTW,Fort Worth Meacham International Airport,US,Foggy,Normal
FWA,Fort Wayne International Airport,US,Sunny,Large-Scale Delay
GEG,Spokane International Airport,US,Cloudy,Large-Scale Delay
GFK,Grand Forks International Airport,US,Cloudy,Small-Scale Delay
GLS,Scholes International At Galveston Airport,US,Snowy,Small-Scale Delay
FCA,Glacier Park International Airport,US,Snowy,Free
GPT,Gulfport Biloxi International Airport,US,Frost,Free
GRB,Austin Straubel International Airport,US,Heavy Snowy,Small-Scale Delay
GRR,Gerald R. Ford International Airport,US,Snowy,Large-Scale Delay
GSO,Piedmont Triad International Airport,US,Foggy,Normal
GSP,Greenville Spartanburg International Airport,US,Heavy Rainy,Busy
GTF,Great Falls International Airport,US,Snowy,Busy
GYY,Gary Chicago International Airport,US,Cloudy,Small-Scale Delay
HII,Lake Havasu City International Airport,US,Heavy Snowy,Free
HRL,Valley International Airport,US,Sunny,Busy
HSV,Huntsville International Carl T Jones Field,US,Partly Cloudy,Large-Scale Delay
HUL,Houlton International Airport,US,Mostly Sunny,Busy
IAD,Washington Dulles International Airport,US,Heavy Rainy,Normal
IAG,Niagara Falls International Airport,US,Sunny,Busy
IFP,Laughlin Bullhead International Airport,US,Mostly Sunny,Normal
ILM,Wilmington International Airport,US,Rainy,Normal
IND,Indianapolis International Airport,US,Sunny,Normal
INL,Falls International Airport,US,Heavy Rainy,Busy
JAN,Jackson-Medgar Wiley Evers International Airport,US,Heavy Snowy,Free
JAX,Jacksonville International Airport,US,Frost,Busy
JFK,John F Kennedy International Airport,US,Partly Cloudy,Large-Scale Delay
LAL,Lakeland Linder International Airport,US,Mostly Sunny,Free
LAS,McCarran International Airport,US,Frost,Busy
LAX,Los Angeles International Airport,US,Foggy,Normal
LBB,Lubbock Preston Smith International Airport,US,Heavy Rainy,Normal
LCK,Rickenbacker International Airport,US,Partly Cloudy,Busy
LEE,Leesburg International Airport,US,Snowy,Small-Scale Delay
LRD,Laredo International Airport,US,Snowy,Normal
LRU,Las Cruces International Airport,US,Rainy,Free
MAF,Midland International Airport,US,Heavy Rainy,Free
MBS,MBS International Airport,US,Frost,Large-Scale Delay
MCI,Kansas City International Airport,US,Rainy,Large-Scale Delay
MCO,Orlando International Airport,US,Mostly Sunny,Busy
MDT,Harrisburg International Airport,US,Foggy,Free
MDW,Chicago Midway International Airport,US,Rainy,Normal
MEM,Memphis International Airport,US,Heavy Rainy,Busy
MFE,McAllen Miller International Airport,US,Rainy,Busy
MFR,Rogue Valley International Medford Airport,US,Mostly Sunny,Large-Scale Delay
MIA,Miami International Airport,US,Heavy Rainy,Free
MKE,General Mitchell International Airport,US,Mostly Sunny,Large-Scale Delay
MLB,Melbourne Orlando International Airport,US,Snowy,Normal
MLI,Quad City International Airport,US,Cloudy,Large-Scale Delay
MOT,Minot International Airport,US,Partly Cloudy,Large-Scale Delay
MSO,Missoula International Airport,US,Snowy,Normal
MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,US,Rainy,Normal
MSS,Massena International Airport Richards Field,US,Partly Cloudy,Normal
MSY,Louis Armstrong New Orleans International Airport,US,Frost,Busy
MWH,Grant County International Airport,US,Sunny,Normal
MYR,Myrtle Beach International Airport,US,Snowy,Busy
OAK,Metropolitan Oakland International Airport,US,Frost,Normal
OLS,Nogales International Airport,US,Heavy Rainy,Busy
ONT,Ontario International Airport,US,Sunny,Free
ORD,Chicago O'Hare International Airport,US,Heavy Rainy,Large-Scale Delay
ORF,Norfolk International Airport,US,Foggy,Normal
PBG,Plattsburgh International Airport,US,Sunny,Small-Scale Delay
PBI,Palm Beach International Airport,US,Heavy Rainy,Normal
PDX,Portland International Airport,US,Partly Cloudy,Normal
PHF,Newport News Williamsburg International Airport,US,Rainy,Large-Scale Delay
PHL,Philadelphia International Airport,US,Heavy Rainy,Busy
PHX,Phoenix Sky Harbor International Airport,US,Frost,Free
PIA,General Wayne A. Downing Peoria International Airport,US,Snowy,Normal
PIE,St Petersburg Clearwater International Airport,US,Foggy,Free
PIT,Pittsburgh International Airport,US,Partly Cloudy,Normal
PNS,Pensacola International Airport,US,Foggy,Busy
PQI,Presque Isle International Airport,US,Rainy,Normal
PRC,Prescott International Airport - Ernest A. Love Field,US,Cloudy,Free
PSM,Portsmouth International at Pease Airport,US,Mostly Sunny,Small-Scale Delay
